CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY,CAPTION_ID,CAPTION_EN,Image_Path
Data 15 Batik Soendari (Sido Candra Kapala),Malang,Sido Candra Kapala,FLORA (Teratai/Lotus/ 蓮花) // CULTURE (Candra Kapala/ Candra Kapala/ チャンドラ・カパラ),"Coklat, Biru",Tulis,Primisima,Sintetis,Non Geometris,"Motif ardha candra kapala yang dikombinasikan dengan motif klasik sidomukti (motif batik dari keraton Solo) dan pengaruh dari batik Tulungagung-an. Secara keseluruhan, filosofis yang tertuang dalam batik ini ialah pencerahan.","Sido Candra Kapala merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah coklat dan biru, membentuk motif utama teratai dan candra kapala. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Motif ardha candra kapala yang dikombinasikan dengan motif klasik sidomukti (motif batik dari keraton Solo) dan pengaruh dari batik Tulungagung-an. Secara keseluruhan, filosofis yang tertuang dalam batik ini ialah pencerahan.","The batik fabric features the Malang motif, characterized by chocolate, blue motifs. The dominant motifs include lotus and candra kapala. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg
Data 16 Batik Soendari (Padma Manyar),Malang,Padma Manyar,FLORA (Teratai/Lotus/ 蓮花) // FAUNA (Burung Manyar/Weaver Bird/ ハタオリドリ),"Coklat, Merah",Tulis,Primisima,Sintetis,Non Geometris,"Burung Manyar disahkan menjadi ikon kota Malang pada tahun 2016. Berdasarkan Surat Keputusan Gubernur Jatim nomor 5225/16774/032/1996, burung istimewa dengan nama ilmiah Pioceus Manyar itu telah ditetapkan sebagai ciri khas fauna Kota Malang. Motif Manyar ini dikombinasikan dengan motif padma yang menjadi ikon dari batik Soendari.","Padma Manyar merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah coklat dan merah, membentuk motif utama teratai dan burung manyar. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Burung Manyar disahkan menjadi ikon kota Malang pada tahun 2016. Berdasarkan Surat Keputusan Gubernur Jatim nomor 5225/16774/032/1996, burung istimewa dengan nama ilmiah Pioceus Manyar itu telah ditetapkan sebagai ciri khas fauna Kota Malang. Motif Manyar ini dikombinasikan dengan motif padma yang menjadi ikon dari batik Soendari.","The batik fabric features the Malang motif, characterized by chocolate, red motifs. The dominant motifs include lotus and weaver bird. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Soendari (Padma Manyar).jpg
Data 17 Batik Soendari (Padma Gradasi),Malang,Padma Gradasi,FLORA (Teratai/Lotus/ 蓮花) ,"Hijau/Dark Green, Kuning",Tulis,Primisima,Sintetis,Non Geometris,Mengangkat Padma sebagai ikon kota Malang (tahun 2000an) yang dibuat dengan teknik gradasi.,"Padma Gradasi merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hijau dan kuning, membentuk motif utama teratai. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Mengangkat Padma sebagai ikon kota Malang (tahun 2000an) yang dibuat dengan teknik gradasi.","The batik fabric features the Malang motif, characterized by dark green, yellow motifs. The dominant motifs include lotus. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Soendari (Padma Gradasi).jpg
Data 18 Batik Soendari (Padma),Malang,Padma,FLORA (Teratai/Lotus/ 蓮花)) ,"Biru gelap, Hijau",Tulis,Primisima,Sintetis,Non Geometris,Mengangkat ikon kota Malang yaitu Padma atau teratai.,"Padma merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah biru gelap dan hijau, membentuk motif utama teratai. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Mengangkat ikon kota Malang yaitu Padma atau teratai.","The batik fabric features the Malang motif, characterized by dark blue, green motifs. The dominant motifs include lotus. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 18 Batik Soendari (Padma).jpg
Data 19 Batik Soendari (Sekartaji Bonpring),Malang,Sekartaji Bonpring,FLORA (Bambu/Bamboo/ 竹) // CULTURE (Sekartaji/Sekartaji Mask/ セカルタジ仮面),"Kuning, Merah",Tulis,Prima,Sintetis,Non-Geometris,"Eksplorasi kekayaan Kab. Malang yang memiliki arboretum bambu terbesar di Indonesia. Motif ini dipadukan dengan topeng Sekartaji (topeng Dewi Sekartaji, putri raja Kediri, yang kerap muncul dalam pertunjukan tari topeng Malang)","Sekartaji Bonpring merupakan mahakarya kelas Batik Malang dengan tata letak non-geometris. Warna yang digunakan adalah kuning dan merah, membentuk motif utama bambu dan sekartaji. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Eksplorasi kekayaan Kab. Malang yang memiliki arboretum bambu terbesar di Indonesia. Motif ini dipadukan dengan topeng Sekartaji (topeng Dewi Sekartaji, putri raja Kediri, yang kerap muncul dalam pertunjukan tari topeng Malang)","The batik fabric features the Malang motif, characterized by yellow, red motifs. The dominant motifs include bamboo and sekartaji mask. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 19 Batik Soendari (Sekartaji Bonpring).jpg
Data 20 Batik Soendari (Ceplok Apel Singa),Malang,Ceplok Apel-Singa,FLORA (Apel/Apple/ りんご) // FAUNA (Singa/Lion/ ライオン),Coklat Kehijauan,Cap,Prima,Alam,Geometris,Mengkombinasikan ikon-ikon yang menggambarkan kota Malang seperti apel dan singa (arema) untuk menarik wisatawan.,"Ceplok Apel-Singa merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah coklat kehijauan, membentuk motif utama apel dan singa. Dibuat dengan teknik cap menggunakan pewarna alam pada kain Prima. Secara filosofis, Mengkombinasikan ikon-ikon yang menggambarkan kota Malang seperti apel dan singa (arema) untuk menarik wisatawan.","The batik fabric features the Malang motif, characterized by greenish brown motifs. The dominant motifs include apple and lion. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 20 Batik Soendari (Ceplok Apel Singa).jpg
Data 21 Batik Soendari (Teratai Truntum),Malang,Teratai Truntum,FLORA (Teratai/Lotus/ 蓮花)) ,"Hijau Muda/Bright green, Biru/blue",Cap,Prima,Sintetis,Geometris,Kombinasi motif khas Baik Soendari yaitu teratai dengan motif klasik truntum. Truntum dibuat oleh Permaisuri Pakubuwono IV yang sedang bersedih. Menjadi simbol dari hati yang berbunga-bunga.,"Teratai Truntum merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah hijau muda dan biru, membentuk motif utama teratai. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Kombinasi motif khas Baik Soendari yaitu teratai dengan motif klasik truntum. Truntum dibuat oleh Permaisuri Pakubuwono IV yang sedang bersedih. Menjadi simbol dari hati yang berbunga-bunga.","The batik fabric features the Malang motif, characterized by bright green, blue motifs. The dominant motifs include lotus. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 21 Batik Soendari (Teratai Truntum).jpg
Data 22 Batik Soendari (Biota Laut),Malang,Biota Laut,"FLORA (Tanaman Laut/Sea Plants/海の植物 ) // FAUNA (Penyu/ SeaTurtle/ 亀, Gurita/Octopus/ 蛸, Ikan/Fish/ 魚) ","Biru Tua, Hitam",Cap,Prima,Sintetis,Non Geometris,Terinspirasi dari kawasan Malang Selatan yang banyak terdapat pantai sekaligus ingin mengangkat pesona laut Malang.,"Biota Laut merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah biru tua dan hitam, membentuk motif utama tanaman laut dan penyu. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Terinspirasi dari kawasan Malang Selatan yang banyak terdapat pantai sekaligus ingin mengangkat pesona laut Malang.","The batik fabric features the Malang motif, characterized by dark blue, black motifs. The dominant motifs include sea plants and seaturtle. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 22 Batik Soendari (Biota Laut).jpg
Data 23 Batik Soendari (Padma Latar Ceceg),Malang,Padma Latar Ceceg,"FLORA (Teratai/Lotus/ 蓮花)) // FAUNA (Kupu-kupu/Butterfly/蝶 , Burung Manyar/Weaver Bird/ ハタオリドリ)","Biru, Cream",Tulis,Katun Sutra,Sintetis,"Naturalis, Non Geometris",Padma/teratai sebagai ikon kota Malang. Menggambarkan lintas waktu/lintas zaman karena banyak dijumpai di Candi Singosari.,"Padma Latar Ceceg merupakan mahakarya kelas Batik Malang dengan tata letak naturalis, non geometris. Warna yang digunakan adalah biru dan cream, membentuk motif utama teratai dan kupu-kupu. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun Sutra. Secara filosofis, Padma/teratai sebagai ikon kota Malang. Menggambarkan lintas waktu/lintas zaman karena banyak dijumpai di Candi Singosari.","The batik fabric features the Malang motif, characterized by blue, cream motifs. The dominant motifs include lotus and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg
Data 24 Batik Soendari (Candi Badut),Malang,Candi Badut,FLORA (Teratai/Lotus/ 蓮花) ) // ARCHITECTURE (Candi Badut/Badut Temple),Oranye/orange,Cap,Prima,Sintetis,Geometris,terinspirasi dari gerbang yang terdapat pada candi badut (candi peninggalan kerajaan Kanjuruhan abad ke 7). Gerbang tersebut dibuat lima buah untuk melambangkan lima kecamatan yang ada di kota Malang. Pemilihan warna oranye untuk menunjukkan kesan hangat dan cerah,"Candi Badut merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah oranye, membentuk motif utama teratai dan candi badut. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, terinspirasi dari gerbang yang terdapat pada candi badut (candi peninggalan kerajaan Kanjuruhan abad ke 7). Gerbang tersebut dibuat lima buah untuk melambangkan lima kecamatan yang ada di kota Malang. Pemilihan warna oranye untuk menunjukkan kesan hangat dan cerah","The batik fabric features the Malang motif, characterized by orange motifs. The dominant motifs include lotus and badut temple. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 24 Batik Soendari (Candi Badut).jpg
Data 25 Batik Soendari (Teratai Sekartaji 3 Dimensi),Malang,Teratai Sekartaji 3 Dimensi,FLORA (Trembesi/Rain Tree/ レインツリー) // CULTURE (Sekartaji/Sekartaji Mask/セカルタジ仮面),Biru Tua/dark blue,Cap,prima,Sintetis,Geometris,Simbol dari perempuan yang bijaksana yang dipadukan dari teratai. Umumnya menjadi hiasan kepala topeng sekartaji,"Teratai Sekartaji 3 Dimensi merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah biru tua, membentuk motif utama trembesi dan sekartaji. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain prima. Secara filosofis, Simbol dari perempuan yang bijaksana yang dipadukan dari teratai. Umumnya menjadi hiasan kepala topeng sekartaji","The batik fabric features the Malang motif, characterized by dark blue motifs. The dominant motifs include rain tree and sekartaji mask. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 25 Batik Soendari (Teratai Sekartaji 3 Dimensi).jpg
Data 26 Batik Soendari (Teratai Tugu Kontemporer),Malang,Teratai Tugu Kontemporer,FLORA (Teratai/Lotus・蓮花・) // ARCHITECTURE (Tugu Malang/Malang Statue/マランの記念像,Merah/red,Tulis dan Cap,Prima,Sintetis,Non Geometris,"Kombinasi antara batik sekarjagad dan Tugu malang sebagai ikon kota Malang. Batik Sekarjagad adalah motif batik dari Solo dan Yogyakarta. Motif ini mengandung makna aneka rupa keindahan yang terjalin menjadi satu. Ada juga yang beranggapan bahwa Sekarjagad berasal dari kata ""kar"" dan ""jagad"" (Bahasa Jawa). ""kar"" berarti peta, ""jagad"" berarti ""dunia"" sehingga ""kar jagad"" melambangkan keragaman di seluruh dunia.","Teratai Tugu Kontemporer merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah merah, membentuk motif utama teratai dan tugu malang. Dibuat dengan teknik tulis dan cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Kombinasi antara batik sekarjagad dan Tugu malang sebagai ikon kota Malang. Batik Sekarjagad adalah motif batik dari Solo dan Yogyakarta. Motif ini mengandung makna aneka rupa keindahan yang terjalin menjadi satu. Ada juga yang beranggapan bahwa Sekarjagad berasal dari kata ""kar"" dan ""jagad"" (Bahasa Jawa). ""kar"" berarti peta, ""jagad"" berarti ""dunia"" sehingga ""kar jagad"" melambangkan keragaman di seluruh dunia.","The batik fabric features the Malang motif, characterized by red motifs. The dominant motifs include lotus・蓮花・ and malang statue. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Soendari (Teratai Tugu Kontemporer).jpg
Data 27 Batik Soendari (Sekartaji Latar Gede),Malang,Sekartaji Latar Gedeg,"CULTURE (Topeng Sekartaji/Sekartaji Mask/ セカルタジ仮面, Gedeg/ Gedeg/ ) ","Biru/blue, Hitam/Black",Cap,Prima,Sintetis,Geometris,"Batik ini memiliki latar utama anyaman bambu yang disebut ""gedeg"" (bahasa Jawa). Warna biru dipilih karena berasosiasi dengan Klub Sepakbola Malang ""Arema""","Sekartaji Latar Gedeg merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah biru dan hitam, membentuk motif utama topeng sekartaji. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Batik ini memiliki latar utama anyaman bambu yang disebut ""gedeg"" (bahasa Jawa). Warna biru dipilih karena berasosiasi dengan Klub Sepakbola Malang ""Arema""","The batik fabric features the Malang motif, characterized by blue, black motifs. The dominant motifs include sekartaji mask. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 27 Batik Soendari (Sekartaji Latar Gede).jpg
Data 28 Batik Soendari (Sekartaji Latar Daun Bambu),Malang,Sekartaji Latar Daun Bambu,FLORA (Daun Bambu/Bamboo Leaf) // CULTURE (Sekartaji/Sekartaji Mask),Merah/red,Cap,Prima,Sintetis,Geometris,"Sekartaji sebagai simbol perempuan tangguh dikombinasikan dengan bambu yang digambarkan fleksibel namun kuat, cocok dengan sifat Sekartaji.","Sekartaji Latar Daun Bambu merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah merah, membentuk motif utama daun bambu dan sekartaji. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Sekartaji sebagai simbol perempuan tangguh dikombinasikan dengan bambu yang digambarkan fleksibel namun kuat, cocok dengan sifat Sekartaji.","The batik fabric features the Malang motif, characterized by red motifs. The dominant motifs include bamboo leaf and sekartaji mask. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 28 Batik Soendari (Sekartaji Latar Daun Bambu).jpg
Data 29 Batik Soendari (Sekartaji Latar Kawung),Malang,Sekartaji Latar Kawung,"CULTURE (Sekartaji/Sekartaji Mask/ , Kawung)","Hitam/Black, Putih/White",Cap,Prima,Sintetis,Geometris,Eksplorasi dari cerita Sekartaji dengan latar Kerajaan Jenggala dan Kediri yang disatukan setelah berperang (Narasi Sejarah Kerajaan).,"Sekartaji Latar Kawung merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah hitam dan putih, membentuk motif utama sekartaji. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Eksplorasi dari cerita Sekartaji dengan latar Kerajaan Jenggala dan Kediri yang disatukan setelah berperang (Narasi Sejarah Kerajaan).","The batik fabric features the Malang motif, characterized by black, white motifs. The dominant motifs include sekartaji mask. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 29 Batik Soendari (Sekartaji Latar Kawung).jpg
Data 30 Batik Soendari (Noni Latar Gedeg),Malang,Noni Latar Gedeg,HISTORY (Noni Belanda/Dutch Lady),Coklat/Brown,Cap,Prima,Sintetis,Geometris,"Di Malang banyak terdapat peninggalan zaman kolonial belanda seperti rumah dan gereja. Sementara ""gedeg"" atau dinding rumah yang terbuat dari anyaman bambu biasa ditemukan di rumah tradisional jawa. Penggabungan dua motif ini menunjukkan akulturasi budaya yang juga bernilai sejarah.","Noni Latar Gedeg merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah coklat, membentuk motif utama noni belanda. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Di Malang banyak terdapat peninggalan zaman kolonial belanda seperti rumah dan gereja. Sementara ""gedeg"" atau dinding rumah yang terbuat dari anyaman bambu biasa ditemukan di rumah tradisional jawa. Penggabungan dua motif ini menunjukkan akulturasi budaya yang juga bernilai sejarah.","The batik fabric features the Malang motif, characterized by brown motifs. The dominant motifs include dutch lady. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 30 Batik Soendari (Noni Latar Gedeg).jpg
Data 31 Batik Soendari (Bunga Apel),Malang,Bunga Apel,FLORA (Bunga Apel/Apple Leaf),Merah tua/Dark Red,Cap,Prima,Sintetis,Geometris,Terinspirasi dari Apel Malang yang terkenal,"Bunga Apel merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah merah tua, membentuk motif utama bunga apel. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Terinspirasi dari Apel Malang yang terkenal","The batik fabric features the Malang motif, characterized by dark red motifs. The dominant motifs include apple leaf. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 31 Batik Soendari (Bunga Apel).jpg
Data 32 Batik Soendari (Bunga Apel),Malang,Bunga Apel,CULTURE (Naga/Dragon),"Biru/Blue, Putih/White",Cap,Prima,Sintetis,Geometris,"Kombinasi dua motif yaitu 'Kawung"", sebuah motif batik klasik yang menjadi ciri khas kerajaan Singosari dipadu dengan ""naga"", yang terdapat pada ukiran candi jawi di pasuruan, jawa Timur. Candi ini didedikasikan untuk raja terakhir kerajaan Singosari yairu Raja Kertanegara (1268-1292)","Bunga Apel merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah biru dan putih, membentuk motif utama naga. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Kombinasi dua motif yaitu 'Kawung"", sebuah motif batik klasik yang menjadi ciri khas kerajaan Singosari dipadu dengan ""naga"", yang terdapat pada ukiran candi jawi di pasuruan, jawa Timur. Candi ini didedikasikan untuk raja terakhir kerajaan Singosari yairu Raja Kertanegara (1268-1292)","The batik fabric features the Malang motif, characterized by blue, white motifs. The dominant motifs include dragon. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 32 Batik Soendari (Bunga Apel).jpg
Data 33 Batik Soendari (Garudeya Latar Kawung),Malang,Garudeya Latar Kawung,"CULTURE (Garudeya, Kawung)","Merah/red, Putih/White",Cap,Prima,Sintetis,Geometris,"Garudeya adalah ornamen yang terdapat di candi Kidal, Kecamatan Tumpang, Kabupaten Malang. Candi Kidal dibangun pada tahun 1284 M sebagai bentuk penghormatan kepada raja kedua kerajaan Singasari, Raja Anusapati. Pada bagian bawah candi terdapat relief garudeya (Garuda) dimana legenda ini menceritakan bakti seorang anak yang melakukan pembebasan perbudakan ibunya. Terinspirasi dari kisah tersebut, motif batik ini dibuat sebagai tema perayaan ke 10 tahun galeri batik ""Soendari' yaitu ""bakti anak terhadap ibu"".","Garudeya Latar Kawung merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah merah dan putih, membentuk motif utama garudeya, kawung. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, Garudeya adalah ornamen yang terdapat di candi Kidal, Kecamatan Tumpang, Kabupaten Malang. Candi Kidal dibangun pada tahun 1284 M sebagai bentuk penghormatan kepada raja kedua kerajaan Singasari, Raja Anusapati. Pada bagian bawah candi terdapat relief garudeya (Garuda) dimana legenda ini menceritakan bakti seorang anak yang melakukan pembebasan perbudakan ibunya. Terinspirasi dari kisah tersebut, motif batik ini dibuat sebagai tema perayaan ke 10 tahun galeri batik ""Soendari' yaitu ""bakti anak terhadap ibu"".","The batik fabric features the Malang motif, characterized by red, white motifs. The dominant motifs include garudeya, kawung. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 33 Batik Soendari (Garudeya Latar Kawung).jpg
Data 34 Batik Soendari (Teratai Trembesi 3 Dimensi),Malang,Teratai Trembesi 3 Dimensi,"FLORA (Trembesi/Rain Tree/ , Teratai/Lotus)","Merah muda/pink, Cream",Cap,Prima,Sintetis,Non Geometris,gambaran suasana alun-alun tugu Kota Malang yang dikelilingi tanaman teratai dan pohon trembesi.,"Teratai Trembesi 3 Dimensi merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah merah muda dan cream, membentuk motif utama trembesi. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Prima. Secara filosofis, gambaran suasana alun-alun tugu Kota Malang yang dikelilingi tanaman teratai dan pohon trembesi.","The batik fabric features the Malang motif, characterized by pink, cream motifs. The dominant motifs include rain tree. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 34 Batik Soendari (Teratai Trembesi 3 Dimensi).jpg
Data 1 Batik Krajan (Kopi),Malang,Kopi,FLORA (Biji kopi/Coffee Beans/コーヒー豆),"Coklat/Brown/茶色, Putih/White/白い",Tulis,Katun Primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari tren menjamurnya kafe, mencerminkan suasana santai yang penuh kreativitas, khas budaya ngopi masa kini. Pola desain menggabungkan elemen-elemen ikonik seperti cangkir kopi beruap, biji kopi. Batik ini tidak hanya menjadi representasi gaya hidup modern, tetapi juga simbol harmonisasi antara tradisi dan tren kontemporer.","Kopi merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah coklat dan putih, membentuk motif utama biji kopi. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun Primisima. Secara filosofis, Motif batik ini terinspirasi dari tren menjamurnya kafe, mencerminkan suasana santai yang penuh kreativitas, khas budaya ngopi masa kini. Pola desain menggabungkan elemen-elemen ikonik seperti cangkir kopi beruap, biji kopi. Batik ini tidak hanya menjadi representasi gaya hidup modern, tetapi juga simbol harmonisasi antara tradisi dan tren kontemporer.","The batik fabric features the Malang motif, characterized by brown, white motifs. The dominant motifs include coffee beans. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Krajan (Kopi).jpg
Data 2 Batik Krajan (Truntum Garudeya),Malang,Truntum Garudeya,FLORA (Bunga/Flower/花) // CULTURE (Garudeya/ガルデヤ),"Hitam/Black/黒い, Putih/White/白い",Tulis dan cap,Katun Primisima,Sintetis,Non Geometris,Pembuatan motif batik atas permintaan Pemerintah Kabupaten Malang (motif Garudeya/garuda dipatenkan oleh pemerintah kab. malang pada tahun 2023 sebagai ikon unggulan kabupaten Malang),"Truntum Garudeya merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hitam dan putih, membentuk motif utama bunga dan garudeya. Dibuat dengan teknik tulis dan cap menggunakan pewarna sintetis pada kain Katun Primisima. Secara filosofis, Pembuatan motif batik atas permintaan Pemerintah Kabupaten Malang (motif Garudeya/garuda dipatenkan oleh pemerintah kab. malang pada tahun 2023 sebagai ikon unggulan kabupaten Malang)","The batik fabric features the Malang motif, characterized by black, white motifs. The dominant motifs include flower and ガルデヤ. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Krajan (Truntum Garudeya).jpg
Data 3 Batik Krajan (Bunga Terompet Garudeya),Malang,Bunga Terompet Garudeya,"FLORA (Bunga Terompet/Trumpet Flower/ダチュラ, Daun Bunga Terompet/Trumpet Flower Leaf/ダチュラの葉, Bunga Terompet Batang/Trumpet Flower Stem/ダチュラ) // CULTURE (Garudeya/ガルデヤ)","Hitam/Black/黒い, Kuning/Yellow/黄色",Tulis,Katun Primisima,Sintetis,Non Geometris,Pembuatan motif batik atas permintaan Pemerintah Kabupaten Malang (motif Garudeya/garuda dipatenkan oleh pemerintah kab. malang pada tahun 2023 sebagai ikon unggulan kabupaten Malang) untuk even DEKRANASDA fest. Motif ini dipadukan dengan bunga terompet yang banyak terdapat di desa Krajan.,"Bunga Terompet Garudeya merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hitam dan kuning, membentuk motif utama bunga terompet dan garudeya. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun Primisima. Secara filosofis, Pembuatan motif batik atas permintaan Pemerintah Kabupaten Malang (motif Garudeya/garuda dipatenkan oleh pemerintah kab. malang pada tahun 2023 sebagai ikon unggulan kabupaten Malang) untuk even DEKRANASDA fest. Motif ini dipadukan dengan bunga terompet yang banyak terdapat di desa Krajan.","The batik fabric features the Malang motif, characterized by black, yellow motifs. The dominant motifs include trumpet flower and ガルデヤ. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Krajan (Bunga Terompet Garudeya).jpg
