name,class,image_path,caption_en,split,philosophy_en,philosophy_core
mega_mendung18.jpg,mega_mendung,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/mega_mendung18.jpg,"The batik fabric features the mega_mendung motif, characterized by a light gray background and deep blue motifs. The dominant motifs consist of swirling, curvilinear shapes resembling stylized leaves or abstract floral elements, arranged in a repeating pattern across the fabric. These motifs are interspersed with smaller, less prominent shapes that appear to be part of the overall design but do not form distinct patterns themselves. The motifs are evenly spaced and oriented in various directions, creating a dynamic yet balanced composition. There are no visible isen-isen elements such as small dots or short lines within the motifs; instead, the focus remains on the larger, flowing shapes that dominate the fabric's surface.",train,"The philosophical meaning of the Mega Mendung motif reflects patience, emotional calm, and spiritual serenity.","patience, emotional calm, spiritual serenity, divine protection"
parang13.jpg,parang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/parang13.jpg,"The batik fabric features the parang motif, characterized by a beige background and brown motifs. The dominant motifs consist of elongated, zigzag shapes resembling leaves or feathers, arranged in parallel rows. Small dots and short lines act as isen-isen elements, filling the spaces between the larger motifs. These elements vary slightly in size but maintain a consistent pattern throughout the design. The motifs repeat consistently along both horizontal and vertical axes, creating a symmetrical and balanced layout across the entire fabric.",train,"In Javanese culture, the Parang motif represents determination, resilience, and steadfast commitment.","perseverance, courage, continuity, relentless self-improvement"
kawung104.jpg,kawung,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/kawung104.jpg,"The batik fabric features the kawung motif, characterized by a white background and black motifs. The dominant motifs consist of circular shapes with smaller circles inside them, resembling flowers or rosettes. These motifs are interspersed with small dots and short lines, known as isen-isen elements, which add texture and detail to the design. The motifs repeat consistently throughout the fabric, arranged in a grid-like pattern with each motif facing the same direction, creating a sense of uniformity and balance. The overall layout is symmetrical, enhancing the traditional aesthetic of the Kawung motif.",train,"In Javanese royal culture, the Kawung motif represents moral integrity, inner balance, and the wisdom of knowing one's origins.","purity of heart, self-mastery, life cycle, moral balance"
betawi25.jpg,betawi,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/betawi25.jpg,"The batik fabric features the betawi motif, characterized by a blue background and red, yellow, green, white, and black motifs. The dominant motifs include stylized flowers, geometric patterns resembling fireworks, and abstract ornaments. The floral elements have multiple petals and are arranged symmetrically along the top border. Geometric patterns form circular designs within the central area, while abstract ornaments appear as small, intricate shapes scattered throughout. The red triangles at the top edge serve as isen-isens, adding decorative detail. The overall layout includes repeated motifs arranged in horizontal bands, creating a balanced and harmonious composition.",train,"Traditionally, the Betawi motif symbolizes multicultural openness, communal harmony, and joyful cultural identity.","multicultural openness, communal harmony, joyful identity, cultural pride"
buketan22.jpg,buketan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/buketan22.jpg,"The batik fabric features the buketan motif, characterized by a white background and blue motifs. The dominant motifs include stylized flowers and leaves, arranged in a repeating pattern across the fabric. These floral elements vary slightly in shape but generally feature elongated petals and leafy stems. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the design. The motifs are evenly spaced and oriented consistently throughout the fabric, creating a balanced and symmetrical layout.",train,"The philosophical meaning of the Buketan motif reflects joy, natural beauty, purity, and graceful femininity.","joy, beauty, purity, feminine grace, cheerfulness"
parang51.jpg,parang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/parang51.jpg,"The batik fabric features the parang motif, characterized by a dark brown background and white motifs. The dominant motifs consist of elongated, wavy lines that resemble flowing water or abstract leaves, arranged in parallel rows. These lines vary slightly in length but maintain a consistent width throughout their length. Small circular dots and square patterns are interspersed among the larger motifs, adding texture and detail. The motifs repeat consistently across the fabric, creating a symmetrical pattern that extends uniformly from edge to edge. The overall layout is structured and orderly, emphasizing the traditional aesthetic of the parang motif.",train,"The philosophical meaning of the Parang motif reflects inner strength, persistence, and lifelong growth.","perseverance, courage, continuity, relentless self-improvement"
liong74.jpeg,liong,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/liong74.jpeg,"The batik fabric features the liong motif, characterized by a deep red background and vibrant blue, yellow, pink, and white motifs. The dominant motifs include stylized flowers and swirling dragon-like figures. The flowers have intricate petal patterns with central yellow and orange accents, while the dragons exhibit flowing, serpentine curves with detailed scales and eyes. Small decorative elements such as small dots and short lines are interspersed between the larger motifs, adding texture and detail. The motifs are arranged symmetrically along the edges of the fabric, creating a balanced and harmonious design. The overall layout includes repeated patterns of flowers and dragons, ensuring a cohesive and visually appealing composition throughout the entire piece.",train,"The philosophical meaning of the Liong motif reflects divine power, protection, and the blessing of prosperity.","divine power, protection, prosperity, celestial benevolence"
betawi132.jpg,betawi,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/betawi132.jpg,"The batik fabric features the betawi motif, characterized by a black background and orange and white motifs. The dominant motifs include two figures wearing traditional attire, each adorned with headpieces featuring feathers. These figures are positioned side-by-side against the dark backdrop. The fabric also includes small decorative elements such as small dots and short lines around the edges, adding texture and detail to the overall design. The motifs are arranged symmetrically on either side of the central axis of the fabric, creating a balanced composition.",train,"Traditionally, the Betawi motif symbolizes multicultural openness, communal harmony, and joyful cultural identity.","multicultural openness, communal harmony, joyful identity, cultural pride"
bokor_kencono149.jpg,bokor_kencono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/bokor_kencono149.jpg,"The batik fabric features the bokor_kencono motif, characterized by a dark blue background and gold motifs. The dominant motifs consist of teardrop-shaped elements adorned with intricate floral patterns at their centers. These teardrops are arranged symmetrically across the fabric, creating a balanced and repetitive pattern. Small dots and short lines are interspersed between the larger motifs, adding texture and detail to the design. The overall layout follows a grid-like structure, ensuring uniformity and harmony throughout the piece.",train,"The philosophical meaning of the Bokor Kencono motif reflects dignity, wisdom, and the aspiration for lasting authority.","dignity, wisdom, authority, noble character"
buketan36.jpg,buketan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/buketan36.jpg,"The batik fabric features the buketan motif, characterized by a pink background and blue, green, and beige floral motifs. The dominant motifs include stylized flowers with intricate petal patterns, arranged in clusters and scattered across the fabric. Small dots and short lines are interspersed among the larger floral designs, adding texture and detail. The motifs repeat consistently throughout the fabric, creating a harmonious pattern. The arrangement follows a symmetrical design, with the floral elements oriented in various directions but maintaining overall balance.",train,"The philosophical meaning of the Buketan motif reflects joy, natural beauty, purity, and graceful femininity.","joy, beauty, purity, feminine grace, cheerfulness"
tuntrum9.jpg,tuntrum,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tuntrum9.jpg,"The batik fabric features the tuntrum motif, characterized by a dark blue background and multicolored motifs. The dominant motifs consist of star-like shapes with radiating lines, resembling sunbursts or snowflakes, in shades of green, yellow, red, and white. Small white dots and short lines act as isen-isen elements, scattered between the larger motifs. These stars are arranged symmetrically across the fabric, creating a repetitive pattern where each motif is evenly spaced from its neighbors. The overall layout follows a grid-like structure, ensuring uniformity and balance throughout the design.",train,"Traditionally, the Truntum motif symbolizes sincere love, quiet devotion, and the renewal of affection.","sincere love, devotion, renewal of affection, patience"
parang88.jpg,parang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/parang88.jpg,"The batik fabric features the parang motif, characterized by a white background and brown motifs. The dominant motifs consist of elongated, wave-like shapes arranged in parallel rows, creating a rhythmic pattern. These waves are interspersed with smaller, more intricate designs resembling stylized leaves or feathers, which add depth and texture to the overall composition. The small dots and short lines within these larger motifs serve as isen-isen elements, enhancing the complexity of the design. The motifs repeat consistently along the length of the fabric, maintaining a symmetrical alignment from left to right. The entire piece exhibits a balanced and harmonious layout, typical of traditional parang batik patterns.",train,"Traditionally, the Parang motif symbolizes perseverance, courage, and continuity in life.","perseverance, courage, continuity, relentless self-improvement"
wahyu_tumurun42.jpg,wahyu_tumurun,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/wahyu_tumurun42.jpg,"The batik fabric features the wahyu_tumurun motif, characterized by a black background and gold motifs. The dominant motifs include stylized flowers and leaves, intricately intertwined with each other, creating a complex network of swirling patterns. These floral elements are adorned with small green accents, adding depth and contrast to the design. The motifs are arranged in a repetitive pattern across the fabric, with some elements overlapping and others spaced apart, creating a dynamic yet balanced composition. The overall layout appears symmetrical, with the motifs oriented in various directions but maintaining a cohesive flow throughout the piece.",train,"In Javanese royal tradition, the Wahyu Tumurun motif represents the descent of divine favour, noble ambition, and spiritual guidance.","divine grace, spiritual guidance, noble aspiration, heavenly blessing"
buketan106.jpg,buketan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/buketan106.jpg,"The batik fabric features the buketan motif, characterized by a dark blue background and pink, green, and yellow motifs. The dominant floral elements include large blossoms with multiple petals, arranged in clusters along the center of the fabric. Smaller flowers and leaves are interspersed throughout, creating a dense and intricate pattern. Birds, depicted with vibrant red beaks and wings, are positioned at various points around the floral arrangements, adding dynamic movement to the design. The edges of the fabric feature smaller floral patterns and additional birds, maintaining continuity with the central motif. The overall arrangement is symmetrical, with motifs evenly distributed across the fabric's surface, ensuring balance and harmony within the composition.",train,"In Pekalongan culture, the Buketan motif represents feminine elegance, inner purity, and blossoming happiness.","joy, beauty, purity, feminine grace, cheerfulness"
wahyu_tumurun40.jpg,wahyu_tumurun,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/wahyu_tumurun40.jpg,"The batik fabric features the wahyu_tumurun motif, characterized by a dark blue background and gold motifs. The dominant motifs include swirling patterns resembling leaves and flowers, with some elements appearing like stylized birds. These motifs are interspersed with small, intricate designs such as dots and lines, which add texture and detail to the overall pattern. The motifs repeat consistently throughout the fabric, arranged in a symmetrical manner, creating a balanced and harmonious design. The layout structure follows a grid-like pattern, ensuring uniformity and coherence across the entire piece.",train,"Traditionally, the Wahyu Tumurun motif symbolizes divine grace, spiritual guidance, and noble aspiration.","divine grace, spiritual guidance, noble aspiration, heavenly blessing"
tujuh_rupa69.jpg,tujuh_rupa,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tujuh_rupa69.jpg,"The batik fabric features the tujuh_rupa motif, characterized by a black background and vibrant motifs in shades of blue, red, yellow, green, and brown. The dominant motifs include stylized flowers and leaves, each outlined in gold for contrast against the dark backdrop. These floral elements are arranged in a scattered yet harmonious pattern across the fabric, with some overlapping slightly to create depth. Small dots and short lines, known as isen-isen, are interspersed between the larger motifs, adding texture and detail to the design. The overall layout appears symmetrical but with slight variations in placement, giving the impression of organic growth rather than strict uniformity.",train,"In Pekalongan's coastal tradition, the Tujuh Rupa motif represents openness to the world, graceful adaptability, and harmony across cultures.","eloquence, adaptability, cultural openness, peaceful diversity"
mega_mendung17.jpg,mega_mendung,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/mega_mendung17.jpg,"The batik fabric features the mega_mendung motif, characterized by a black background and blue and red motifs. The dominant motifs consist of swirling cloud-like shapes, which are predominantly blue with red accents at their tips. These clouds are arranged in a repetitive pattern across the fabric, creating a sense of movement and dynamism. The motifs are oriented horizontally and vertically, forming a grid-like structure that emphasizes the rhythmical flow of the design. There are no visible isen-isen elements such as small dots or short lines within the motifs themselves; instead, the contrast between the blue and red colors creates a striking visual effect against the black background.",train,"In Cirebonese court culture, the Mega Mendung motif represents composure, inner peace, and the grace of divine protection.","patience, emotional calm, spiritual serenity, divine protection"
betawi109.jpg,betawi,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/betawi109.jpg,"The batik fabric features the betawi motif, characterized by a bright pink background and black, green, white, and light gray motifs. The dominant motifs include stylized figures resembling traditional Betawi dancers, geometric triangular patterns, and floral designs. Small dots and short lines act as isen-isen elements, adding texture and detail to the overall design. The motifs are arranged symmetrically along the length of the fabric, with repeated patterns creating a cohesive and balanced composition. The figures are positioned on either side of the central black panel, which features intricate geometric triangles and floral motifs, while the right side showcases additional figures and decorative elements against the vibrant pink backdrop.",train,"Traditionally, the Betawi motif symbolizes multicultural openness, communal harmony, and joyful cultural identity.","multicultural openness, communal harmony, joyful identity, cultural pride"
kawung98.jpg,kawung,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/kawung98.jpg,"The batik fabric features the kawung motif, characterized by a dark orange background and light orange motifs. The dominant motifs consist of circular shapes resembling flowers or leaves, each containing smaller cross-like patterns inside them. These circular motifs are arranged in a grid-like pattern across the fabric, creating a repetitive and symmetrical design. The spacing between the motifs is uniform, ensuring a balanced and orderly appearance. The overall layout follows a horizontal and vertical alignment, enhancing the structured aesthetic of the batik.",train,"The philosophical meaning of the Kawung motif reflects purity of heart, self-mastery, and moral balance in life.","purity of heart, self-mastery, life cycle, moral balance"
sidomulyo43.jpg,sidomulyo,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidomulyo43.jpg,"The batik fabric features the sidomulyo motif, characterized by a light beige background and dark brown motifs. The dominant motifs include stylized floral elements such as petals and leaves, arranged symmetrically within diamond-shaped frames. These frames are interconnected by curved lines forming a lattice-like pattern. Small black dots are scattered throughout the design, adding texture and detail to the motifs. The motifs repeat consistently across the fabric, maintaining a balanced and harmonious layout.",train,"The philosophical meaning of the Sidomulyo motif reflects glory, enduring honour, and the pursuit of a dignified life.","glory, enduring honour, inner mastery, dignified life"
sidomulyo88.jpg,sidomulyo,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidomulyo88.jpg,"The batik fabric features the sidomulyo motif, characterized by a white background and dark brown motifs. The dominant motifs include stylized leaves and geometric shapes such as triangles and rectangles, arranged in a repeating pattern. These motifs are interspersed with small, dark brown dots and short lines, which act as isen-isen elements, adding texture and detail to the design. The motifs are symmetrically placed within diamond-shaped frames formed by intersecting lines, creating a balanced and harmonious layout across the entire fabric.",train,"Traditionally, the Sidomulyo motif symbolizes glory, enduring honour, and a life of inner mastery.","glory, enduring honour, inner mastery, dignified life"
tribusono2.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono2.jpg,"The batik fabric features the tribusono motif, characterized by a beige background and brown, gold, and black motifs. The dominant motifs include stylized leaves and flowers, with intricate petal-like structures and swirling patterns. Small dots and short lines are interspersed throughout the design, adding texture and detail. The motifs are arranged in a repetitive pattern, creating a balanced and symmetrical layout across the fabric.",train,"The philosophical meaning of the Tribusono motif reflects regeneration, cultural harmony, and ecological awareness.","regeneration, harmony, cultural continuity, ecological awareness"
tuntrum67.jpg,tuntrum,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tuntrum67.jpg,"The batik fabric features the tuntrum motif, characterized by a black background and white motifs. The dominant motifs consist of small, intricate star-like patterns arranged in a grid-like fashion. These stars have a central dot surrounded by smaller dots forming a symmetrical design. The motifs repeat consistently throughout the fabric, creating a uniform pattern. There are no visible isen-isen elements such as small dots or short lines within these star patterns. The overall arrangement shows a high degree of symmetry, with each row and column containing identical motifs spaced evenly apart.",train,"In Surakarta royal tradition, the Truntum motif represents unconditional love, the rekindling of affection, and parental guidance.","sincere love, devotion, renewal of affection, patience"
jlamprang105.png,jlamprang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/jlamprang105.png,"The batik fabric features the jlamprang motif, characterized by a dark brown background and pink and gold motifs. The dominant motifs consist of circular designs with intricate star-like patterns at their centers, surrounded by smaller decorative elements. These circles are interspersed with smaller, more ornate shapes that resemble stylized flowers or leaves. The small dots and short lines within these larger motifs add texture and detail, enhancing the overall complexity of the design. The motifs repeat consistently throughout the fabric, arranged in a grid-like pattern with each circle aligned symmetrically against its neighbors. The entire composition maintains a balanced and harmonious aesthetic, typical of traditional jlamprang batik designs.",train,"Traditionally, the Jlamprang motif symbolizes cosmic balance, spiritual order, and sacred connection with the divine.","cosmic balance, spiritual order, sacred connection, divine harmony"
wahyu_tumurun46.jpg,wahyu_tumurun,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/wahyu_tumurun46.jpg,"The batik fabric features the wahyu_tumurun motif, characterized by a dark brown background and gold motifs. The dominant motifs include intricate floral elements and abstract ornaments, which are repeated throughout the fabric. Small dots and short lines, known as isen-isen, are interspersed among the larger motifs, adding texture and detail. The motifs are arranged in a symmetrical pattern, with some elements oriented vertically while others are horizontal, creating a balanced and harmonious design.",train,"Traditionally, the Wahyu Tumurun motif symbolizes divine grace, spiritual guidance, and noble aspiration.","divine grace, spiritual guidance, noble aspiration, heavenly blessing"
tribusono70.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono70.jpg,"The batik fabric features the tribusono motif, characterized by a dark green background and vibrant purple, blue, gold, and brown motifs. The dominant motifs include stylized flowers and leaves, arranged in a repeating pattern across the fabric. These floral elements are intricately detailed with small dots and short lines, adding texture and depth. The motifs are oriented in various directions, creating a dynamic and balanced composition. Symmetry is evident in the placement of these elements, ensuring a harmonious overall design. The layout structure follows a grid-like pattern, with motifs evenly spaced and repeated throughout the fabric.",train,"The philosophical meaning of the Tribusono motif reflects regeneration, cultural harmony, and ecological awareness.","regeneration, harmony, cultural continuity, ecological awareness"
wahyu_tumurun30.jpg,wahyu_tumurun,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/wahyu_tumurun30.jpg,"The batik fabric features the wahyu_tumurun motif, characterized by a light beige background and dark brown, black, and gold motifs. The dominant motifs include stylized birds with outstretched wings, intricate floral elements, and swirling vines. These elements are interspersed with small red and green accents. The motifs repeat consistently across the fabric, arranged in a symmetrical pattern with some variation in size and placement. The overall layout appears structured yet dynamic, creating a visually engaging design.",train,"Traditionally, the Wahyu Tumurun motif symbolizes divine grace, spiritual guidance, and noble aspiration.","divine grace, spiritual guidance, noble aspiration, heavenly blessing"
sidoluhur123.jpg,sidoluhur,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidoluhur123.jpg,"The batik fabric features the sidoluhur motif, characterized by a dark blue background and golden motifs. The dominant motifs include intricate floral elements and geometric patterns, such as interlocking diamond shapes and curving lines forming complex lattices. Small golden dots and short lines act as isen-isen elements, adding texture and detail to the design. These motifs are arranged symmetrically across the fabric, repeating in a grid-like pattern with consistent spacing between each element. The overall layout maintains a balanced and harmonious structure throughout the entire piece.",train,"The philosophical meaning of the Sidoluhur motif reflects noble character, moral elevation, and the aspiration for dignified conduct.","noble character, moral elevation, dignity, exemplary conduct"
srikaton66.jpg,srikaton,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/srikaton66.jpg,"The batik fabric features the srikaton motif, characterized by a dark blue background and golden motifs. The dominant motifs include stylized leaves and floral elements, arranged symmetrically across the fabric. These motifs repeat consistently throughout the design, creating a harmonious pattern. Small dots and short lines act as isen-isen elements, adding texture and detail between larger motifs. The overall layout follows a grid-like structure, ensuring uniformity and balance within the design.",train,"The philosophical meaning of the Srikaton motif reflects divine radiance, natural abundance, and resilience.","divine radiance, natural abundance, resilience, visible grace"
srikaton72.jpg,srikaton,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/srikaton72.jpg,"The batik fabric features the srikaton motif, characterized by a black background and gold, red, green, pink, and blue motifs. The dominant motifs include stylized flowers and leaves, often resembling peacock feathers, arranged in a repeating pattern across the fabric. These motifs are intricately detailed with small dots and short lines, adding texture and depth to the design. The arrangement follows a symmetrical layout, with motifs evenly spaced and oriented in various directions, creating a balanced and harmonious composition.",train,"In Javanese tradition, the Srikaton motif represents visible grace, the flourishing of nature, and the strength to overcome adversity.","divine radiance, natural abundance, resilience, visible grace"
sidomulyo26.jpg,sidomulyo,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidomulyo26.jpg,"The batik fabric features the sidomulyo motif, characterized by a light pink background and brown, blue, and red motifs. The dominant motifs include stylized floral elements with intricate petal-like shapes and swirling curves. These floral designs are interspersed with small, circular patterns resembling beads or jewels, adding texture and detail. The motifs repeat symmetrically across the fabric, arranged in a grid-like pattern with each unit consisting of four main floral elements forming a larger diamond shape within a square frame. The overall layout is orderly and balanced, creating a harmonious and visually appealing design.",train,"Traditionally, the Sidomulyo motif symbolizes glory, enduring honour, and a life of inner mastery.","glory, enduring honour, inner mastery, dignified life"
srikaton29.jpg,srikaton,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/srikaton29.jpg,"The batik fabric features the srikaton motif, characterized by a deep blue background and gold and white motifs. The dominant motifs include stylized flowers and leaves, arranged in a repeating pattern across the fabric. These floral elements feature intricate petal shapes and detailed veins, creating a sense of depth and texture. Small dots and short lines, known as isen-isen, are interspersed within the larger motifs, adding fine detail and enhancing the overall complexity of the design. The motifs are evenly spaced and oriented in a symmetrical manner, forming a harmonious and balanced composition throughout the entire piece.",train,"The philosophical meaning of the Srikaton motif reflects divine radiance, natural abundance, and resilience.","divine radiance, natural abundance, resilience, visible grace"
sekarjagad129.jpg,sekarjagad,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sekarjagad129.jpg,"The batik fabric features the sekarjagad motif, characterized by a dark blue background and gold motifs. The dominant motifs include intricate floral elements and abstract ornaments, featuring swirling curves and geometric patterns. Small dots and short lines act as isen-isens, adding texture and detail throughout the design. The motifs are arranged symmetrically, repeating in a structured pattern across the fabric, creating a balanced and harmonious composition.",train,"The philosophical meaning of the Sekarjagad motif reflects the beauty of diversity, universal harmony, and radiant coexistence.","beauty of diversity, universal harmony, radiance, coexistence"
sekarjagad88.jpg,sekarjagad,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sekarjagad88.jpg,"The batik fabric features the sekarjagad motif, characterized by a dark blue background and white motifs. The dominant motifs include stylized leaves and flowers arranged in a repeating pattern. These motifs are composed of intricate curves and lines, creating a sense of movement and depth. Small dots and short lines are interspersed between the larger motifs, adding texture and detail. The arrangement follows a symmetrical design, with motifs evenly spaced and oriented in a grid-like fashion across the fabric.",train,"Traditionally, the Sekarjagad motif symbolizes the beauty of diversity, universal harmony, and joyful coexistence.","beauty of diversity, universal harmony, radiance, coexistence"
jlamprang36.jpg,jlamprang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/jlamprang36.jpg,"The batik fabric features the jlamprang motif, characterized by a black background and red and gold motifs. The dominant motifs consist of circular patterns with intricate designs at their centers, resembling stylized flowers or ornamental motifs. These circles are interspersed with smaller, simpler shapes such as ovals and rectangles, which appear to be part of the overall design but do not form distinct motifs themselves. The small dots and short lines within these larger motifs add texture and detail, enhancing the complexity of each circle. The motifs are arranged in a repetitive pattern across the fabric, creating a symmetrical and balanced layout. Each motif is evenly spaced and oriented consistently, contributing to the uniform appearance of the entire piece.",train,"The philosophical meaning of the Jlamprang motif reflects cosmic balance, spiritual order, and sacred connection with the divine.","cosmic balance, spiritual order, sacred connection, divine harmony"
sekarjagad12.jpg,sekarjagad,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sekarjagad12.jpg,"The batik fabric features the sekarjagad motif, characterized by a white background and green, blue, red, and black motifs. The dominant motifs include stylized flowers, butterflies, and geometric patterns such as triangles and squares. The flowers have intricate petal designs, while the butterflies feature detailed wings. The geometric shapes are arranged symmetrically within larger diamond-shaped frames. Small dots and short lines act as isen-isens, filling spaces between the main motifs. The motifs repeat consistently throughout the fabric, creating a balanced and harmonious pattern.",train,"The philosophical meaning of the Sekarjagad motif reflects the beauty of diversity, universal harmony, and radiant coexistence.","beauty of diversity, universal harmony, radiance, coexistence"
liong47.jpg,liong,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/liong47.jpg,"The batik fabric features the liong motif, characterized by a white background and red, blue, green, and black motifs. The dominant motifs include stylized flowers and leaves, with some resembling lotus blossoms. These floral elements are intricately detailed, featuring pointed petals and intricate patterns within them. The motifs are arranged in a repeating pattern across the fabric, creating a symmetrical design. The spacing between the motifs varies slightly but maintains a balanced rhythm throughout the piece. There are no visible isen-isen elements such as small dots or short lines in the provided section of the batik.",train,"In Sino-Javanese tradition, the Liong motif represents celestial strength, protection from misfortune, and the blessing of abundance.","divine power, protection, prosperity, celestial benevolence"
tuntrum74.jpg,tuntrum,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tuntrum74.jpg,"The batik fabric features the tuntrum motif, characterized by a dark brown background and white motifs. The dominant motifs consist of small, circular shapes resembling flowers or petals arranged symmetrically within larger diamond patterns. These diamond shapes are interspersed with smaller, interconnected circles forming a grid-like pattern. The white motifs stand out sharply against the dark brown backdrop, creating a striking contrast. The arrangement of motifs follows a repetitive, orderly fashion, with each diamond shape containing multiple smaller circular elements, ensuring a balanced and harmonious design throughout the fabric.",train,"Traditionally, the Truntum motif symbolizes sincere love, quiet devotion, and the renewal of affection.","sincere love, devotion, renewal of affection, patience"
tujuh_rupa128.jpg,tujuh_rupa,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tujuh_rupa128.jpg,"The batik fabric features the tujuh_rupa motif, characterized by a black background and vibrant motifs in shades of blue, green, pink, white, and beige. The dominant motifs include stylized leaves and flowers, with some elements resembling abstract forms. These motifs are interspersed with small white dots and short lines, which act as isen-isen elements, adding texture and detail to the design. The motifs are arranged in a scattered yet harmonious pattern across the fabric, with no strict symmetry but rather a fluid distribution that creates a dynamic and visually engaging composition.",train,"Traditionally, the Tujuh Rupa motif symbolizes eloquence, adaptability, and peaceful cultural diversity.","eloquence, adaptability, cultural openness, peaceful diversity"
sidomukti100.jpg,sidomukti,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidomukti100.jpg,"The batik fabric features the sidomukti motif, characterized by a brown background and black motifs. The dominant motifs include stylized leaves and flowers, arranged symmetrically within diamond-shaped frames. These frames are interspersed with small white dots and short horizontal lines, creating a sense of rhythm and balance throughout the design. The motifs repeat consistently across the fabric, maintaining a uniform pattern that covers the entire surface.",train,"Traditionally, the Sidomukti motif symbolizes enduring happiness, fulfilment, and spiritual wholeness.","enduring happiness, fulfilment, prosperity, spiritual wholeness"
parang119.jpg,parang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/parang119.jpg,"The batik fabric features the parang motif, characterized by a brown background and white motifs. The dominant motifs consist of elongated, curved shapes resembling leaves or petals, arranged diagonally across the fabric. These motifs repeat consistently throughout the design, creating a harmonious pattern. Small white dots are interspersed between the larger motifs, adding texture and detail to the overall composition. The arrangement follows a symmetrical grid-like structure, enhancing the balanced aesthetic of the parang motif.",train,"The philosophical meaning of the Parang motif reflects inner strength, persistence, and lifelong growth.","perseverance, courage, continuity, relentless self-improvement"
sidoluhur95.jpg,sidoluhur,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidoluhur95.jpg,"The batik fabric features the sidoluhur motif, characterized by a dark blue background and golden-yellow motifs. The dominant motifs include intricate floral elements such as leaves and petals, arranged in a repeating pattern across the fabric. These floral designs are connected by curved lines forming a grid-like structure, creating a sense of harmony and balance. Small dots and short lines act as fillers between the larger motifs, adding texture and depth to the overall design. The motifs are evenly spaced and oriented consistently throughout the fabric, maintaining a symmetrical layout that enhances the visual appeal of the piece.",train,"In Javanese tradition, the Sidoluhur motif represents the pursuit of virtue, dignified conduct, and the honour of righteous leadership.","noble character, moral elevation, dignity, exemplary conduct"
sekarjagad67.jpg,sekarjagad,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sekarjagad67.jpg,"The batik fabric features the sekarjagad motif, characterized by a dark red background and vibrant orange motifs. The dominant motifs include stylized flowers and leaves, some resembling lotus blossoms, with intricate black outlines and small decorative elements within them. These floral elements are interspersed with geometric patterns, such as star-like shapes and diamond designs, which add complexity to the overall composition. Small dots and short lines are used as isen-isen elements, enhancing the texture and detail of the motifs. The motifs are arranged in a scattered yet balanced manner across the fabric, creating a dynamic and visually engaging pattern. There is no strict symmetry but rather a harmonious distribution that allows for a sense of movement and rhythm throughout the design.",train,"Traditionally, the Sekarjagad motif symbolizes the beauty of diversity, universal harmony, and joyful coexistence.","beauty of diversity, universal harmony, radiance, coexistence"
