CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY
Data 1 Batik Blimbing (Heritage of Malang),Malang,Heritage Of Malang,"FLORA (Teratai/Lotus, Bunga Melati/Jasmine flower) // ARCHITECTURE (Tugu Malang/Malang Monument)","Coklat/brown, Fuschia",Tulis dan Cap,Prima B,Sintetis,Simetris,"Mengangkat tema Cityscape; bangunan-bangunan terkenal yang ada di Kota Malang seperti Stasiun Malang, Plaza Sarinah, Candi Badut, Gereja Corjesu, Gereja Ijen, Balai Kota, Masjid Jami, Toko Oen (toko es krim sejak zaman kolonial Belanda), Kampung Warna-warni, Tugu Malang"
Data 2 Batik Blimbing (Heritage of Malang),Malang,Heritage Of Malang,"FLORA (Teratai/Lotus, Bunga Melati/Jasmine flower) // ARCHITECTURE (Tugu Malang/Malang Monument)","Coklat/brown, Kuning/yellow",Tulis dan Cap,Prima SHT,Sintetis,Simetris,"Mengangkat tema Cityscape; bangunan-bangunan terkenal yang ada di Kota Malang seperti Stasiun Malang, Plaza Sarinah, Candi Badut, Gereja Corjesu, Gereja Ijen, Balai Kota, Masjid Jami, Toko Oen (toko es krim sejak zaman kolonial Belanda), Kampung Warna-warni, Tugu Malang"
Data 3 Batik Blimbing (Daniswara Silamukti),Malang,Daniswara Silamukti,"FLORA (Bunga/Flower, Padi/Rice Plant, Kapas/Cotton, Pohon Beringin/Banyan Tree) // FAUNA (Kupu-kupu/Butterfly, Banteng/Bull) // CULTURE (Topeng/Mask, Panji Asmora Bangun, Ragil Kuning)","Biru/blue, Putih/White",Tulis,Prisma,Sintetis,Non Geometris,Mengangkat topeng Malangan sebagai kesenian tradisional khas Malang yang dikombinasikan dengan Pancasila
Data 4 Batik Blimbing (Daniswara Silamukti),Malang,Daniswara Silamukti,"FLORA (Bunga/Flower, Padi/Rice Plant, Kapas/Cotton, Pohon Beringin/Banyan Tree) // FAUNA (Kupu-kupu/Butterfly, Banteng/Bull) // CULTURE (Topeng/Mask, Panji Asmora Bangun, Ragil Kuning)","Coklat/brown, Biru muda/Bright blue",Tulis,Prisma,Sintetis,Non Geometris,Mengangkat topeng Malangan sebagai kesenian tradisional khas Malang yang dikombinasikan dengan Pancasila
Data 5 Batik Blimbing ( Treasure of Jago),Malang,Treasure Of Jago,"FLORA (Teratai/Lotus) // ARCHITECTURE (Candi Jago/Jago Temple, Arca/statue) // FAUNA (Ayam Jago/Rooster)","Biru/blue, Hitam/black",Tulis,Prisma,Sintetis,Simetris,"Representasi dari lokasi Batik Blimbing yang berada di Jl. Candi Jago yang mengangkat sejarah dan bangunan dari Candi Jago, serta pemilihan warna biru dan hitam karena batik ini diperuntukkan untuk Pria."
Data 6 Batik Blimbing (Daniswara Patibrata),Malang,Daniswara Patibrata,FLORA (Bunga Melati/Jasmine Flower) // CULTURE (Topeng Panji/Panji Mask),Merah Muda/Bright Red,Cap,Prima SHT,Sintetis,Simetris,Mengangkat topeng Malangan sebagai penghormatan kepada kesenian tradisional khas Malang
Data 7 Batik Blimbing (Lituhaya Prameswari Singasari),Malang,Lituhaya Prameswari Singasari,FLORA (Trembesi/Rain Tree) // FAUNA (Burung Manyar/Weaver Bird) // CULTURE (Penari/Traditional Dancers) // ARCHITECTURE (Candi Singosari/Singosari Temple),"Hitam/Black, Kuning/Yellow",Tulis,Prisma,Sintetis,Simetris,Mengangkat dua simbol kebudayaan kota Malang yaitu penari topeng Malang dan Candi Singosari.
Data 8 Batik Blimbing (Balai Kota Malang),Malang,Balai Kota Malang,"FLORA (Teratai/Lotus) // ARCHITECTURE (Tugu Malang/Malang Monument, Balai Kota Malang/Malang Town Hall)","Merah Muda/Bright Red, Coklat/brown",Tulis dan Cap,Prima AJL,Sintetis,Simetris,"Mengangkat salah satu bangunan ikonik di Malang yaitu balai kota Malang, bangunan bersejarah yang dibangun pada tahun 1927 dan berarsitektur kolonial Belanda. Saat ini balai kota malang sudah disahkan menjadi cagar budaya oleh Walikota Malang dalam Surat Ketetapan Walikota Malang nomor SK 185.45/341/35/73.112/2018 tertanggal 12 Desember 2018"
Data 9 Batik Blimbing (Balai Kota Malang),Malang,Balai Kota Malang,"FLORA (Teratai/Lotus) // ARCHITECTURE (Tugu Malang/Malang Monument, Balai Kota Malang/Malang Town Hall)","Biru/Blue, Coklat/brown",Tulis dan Cap,Prima AJL,Sintetis,Simetris,"Mengangkat salah satu bangunan ikonik di Malang yaitu balai kota Malang, bangunan bersejarah yang dibangun pada tahun 1927 dan berarsitektur kolonial Belanda. Saat ini balai kota malang sudah disahkan menjadi cagar budaya oleh Walikota Malang dalam Surat Ketetapan Walikota Malang nomor SK 185.45/341/35/73.112/2018 tertanggal 12 Desember 2018"
Data 10 Batik Blimbing ( Daniswara Sukumara),Malang,Daniswara Sukumara,"CULTURE (Topeng Ragil Kuning, Panji)// FLORA (Bunga kamboja/Frangipani)","Coklat/Brown, Merah/Red",Tulis dan Cap,Prima AJL,Sintetis,Geometris,Kombinasi motif topeng malang yang ikonik dan bunga kamboja
Data 11 Batik Blimbing (Lituhaya Prameswari),Malang,Lituhaya Prameswari,"FLORA (Padi/Rice Plant, Bunga Kamboja/Frangipani Flower) // FAUNA (Burung Manyar/Weaver Bird) // CULTURE (Penari tradisional/Mask Dancers, Topeng Malang/Malang Mask)","Merah/red, Putih/White",Tulis dan Cap,Prima AJL,Sintetis,Simetris,Mengangkat tema penari topeng yang cantik serta digabungkan dengan ikon kota malang Burung Manyar.
Data 12 Batik Blimbing (Daniswara Jiwa Trisna),Malang,Daniswara Jiwa Trisna,"FLORA (Bunga Sepatu/Hibiscus) // FAUNA (Kupu-kupu/Butterfly) // CULTURE (Topeng/Mask, Koin/Coin, Api/Fire)","Hitam/Black, Biru/Blue",Cap,Prima AJL,Sintetis,Simetris,"Mengangkat ornamen dari mahkota topeng-topeng Panji dan Ragil Kuning, serta dikombinasikan dengan kupu-kupu sebagai pemanis."
Data 13 Batik Blimbing (Daniswara Jiwa Trisna),Malang,Daniswara Jiwa Trisna,"FLORA (Bunga Sepatu/Hibiscus) // FAUNA (Kupu-kupu/Butterfly) // CULTURE (Topeng/Mask, Koin/Coin, Api/Fire)","Hitam/Black, Coklat/Brown",Cap,Prima AJL,Sintetis,Simetris,"Mengangkat ornamen dari mahkota topeng Panji dan topeng Ragil Kuning (tokoh dalam pertunjukan tari topeng Malang), dikombinasikan dengan kupu-kupu sebagai pemanis."
Data 14 Batik Blimbing (Ista Malang Kucecwara Gunungan),Malang,Ista Malang Kucecwara Gunungan,"ARCHITECTURE (Tugu Malang/Malang Monument, Tapak Batu/Stone Paved Road) // CULTURE (Api/Fire)
","Merah Tedas/Crimson, Putih/White",Cap,Prima SHT,Sintetis,Simetris,"Mengangkat Tugu sebagai ikon Kota Malang dan Gunungan Wayang yang bermakna 4 elemen (air, tanah, api, angin)"
Data 15 Batik Blimbing (Motif Singa),Malang,Motif Singa,FAUNA (Singa/Lion) // CULTURE (Kawung),"Hitam/Black, Putih/White",Cap,Prima SHT,Sintetis,Simetris,"Motif Kawung dipercaya sebagai motif dari kain milik Ken Dedes (istri pendiri kerajaan Singosari, dipercaya ibu dari leluhur raja-raja jawa). Kemudian singa sebagai perlambang kerajaan singosari (singo = singa) dan juga simbol klub sepakbola Malang. Latar belakang pembuataan motif batik ini sebagai bahan edukasi untuk sekolah TK di Malang agar anak-anak di malang sudah mengenal kekayaan batik Malang sejak dini."
Data 16 Batik Blimbing (Topeng Gandring Ista),Malang,Topeng Gandring Ista,"ARCHITECTURE (Tugu/Monument) // CULTURE (Topeng Panji/Panji Mask, Ragil Kuning)
","Biru/blue, Putih/White",Cap,Prima SHT,Sintetis,Simetris,Mengangkat kesenian tradisional tari Topeng Malangan yang merupakan ikon kota Malang. Terdapat 7 macam topeng yang terdapat di dalam batik ini.
Data 17 Batik Blimbing (Ista Malang Kucecwara),Malang,Ista Malang Kucecwara,ARCHITECTURE (Tugu/Monument),"Biru/Blue, Putih/White",Cap,Prima AJL,Sintetis,Geometris,"Mengangkat salah satu bangunan ikonik Kota Malang yaitu Tugu kota malang. Dikombinasikan dengan motif tumpal (pucuk atau ujung dalam bahasa Jawa) yang secara filosofis adalah konsep kesatuan kosmos, manusia, semesta, dan alam lain dari sifat keduniaan menuju ketuhanan"
Data 18 Batik Blimbing (Topeng Gandring Wirasena),Malang,Ista Malang Kucecwara,"CULTURE (Topeng/Mask, Koin/Coin)","Hitam/Black, Putih/White",Cap,Prima AJL,Sintetis,Simetris,"terinspirasi dari kesenian tradisional topeng Malangan. terdapat 4 topeng disini yaitu topeng Panji, Bapang, Sekartaji, Ragil Kuning."
Data 19 Batik Blimbing (Daniswara Nirbaya),Malang,Daniswara Nirbaya,"FLORA (Bunga Sepatu/Hibiscus) // CULTURE (Topeng/Mask, Kawung, Elemen Api/Fire Element)","Ungu/Purple, Pink",Cap,Prima SHT,Sintetis,Geometris,Bunga Nirbaya (kembang sepatu) menyimbolkan kemakmuran. Motif ini dikombinasikan dengan kesenian tradisional Topeng Malang.
Data 20 Batik Blimbing (Gandring Wirasena Hambangun Negari),Malang,Gandring Wirasena Hambangun Negari,"CULTURE (Topeng/Mask, Sekarjagat)","Coklat/Brown, Pink",Cap,Prima AJL,Sintetis,Simetris,Motif Sekarjagad ( gabungan dari 7 motif bunga dalam satu gambar) yang dikombinasikan dengan topeng malang
Data 21 Batik Blimbing (Daniswara Ardhani),Malang,Daniswara Ardhani,"CULTURE (Topeng/Mask, Sekarjagat, Api/Fire, Koin/Coin)","Hitam/Black, Biru/Blue",Cap,Prima AJL,Sintetis,Geometris,Topeng malang Dewi Sekartaji. Dewi Sekartaji adalah putri raja kerajaan kediri yang bernama asli putri galuh candra Kirana. Tokoh Dewi Sekartaji dalam pertunjukan tari topeng malang menyimbolkan figur kebaikan dan kecantikan perempuan Jawa
Data 1 Batik Sukun (Batik Akar Kehidupan),Malang,Batik Akar Kehidupan,"FLORA (Daun pohon Sukun/Breadfruit Leaf/ パンノキの葉, Buah pohon Sukun/Breadfruit/ パンノキ, Akar pohon Sukun/Breadfruit root/ パンノキの根) // CULTURE (Kawung/Kawung/ヤシ科)","Krem/Cream, HIjau/Green",Sablon,Primisima,Sintetis,Non Geometris,"Mengangkat pohon sukun yang dimaknai sebagai pohon kehidupan karena berumur panjang dan mudah tumbuh di berbagai kondisi ekologis, serta merupakan gagasan terbentuknya pancasila yang merupakan ide Bapak Soekarno ketika melihat pohon sukun yang memiliki lima cabang."
Data 2 Batik Sukun (Batik Okus),Malang,Batik Okus,"FLORA (Ukel, Tumbuhan Laut/Sea Plants) // FAUNA (Ikan Mujair/Tilapia Fish) // CULTURE (Perahu Cadik/Cadik Boat, Aliran air/Watercourse, Mahkota/Crown)","Biru Tua/Dark Blue, Merah/Red",Tulis,Primisima,Sintetis,Geometris,"Mengangkat perahu cadik sebagai Ikon dari budaya Sumatera Selatan untuk mengangkat serta menonjolkan identitas dari daerah Ogan Kemenag, Sumatera Selatan."
Data 3 Batik Sukun (Batik Sulur),Malang,Batik Sulur,"FLORA (Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit)",Coklat/Brown,Tulis,Primisima,Sintetis,Non Geometris,"Terinspirasi dari kata ""sulur"" dan ""daun sukun"" sebagai obat. Dua kata tersebut memiliki makna yang saling berhubungan yaitu ssebagai penyambung kehidupan dan bertahan ketika terjadinya Pandemi Corona."
Data 4 Batik Sukun (Batik Motif Tumbuh),Malang,Batik Motif Tumbuh,"FLORA (Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit) // CULTURE (Parang)","Hitam kecoklatan/Dark Brown, Putih/White",Tulis,Primisima,Sintetis,Geometris dan Non Geometris,"Mengangkat pohon sukun yang dimaknai sebagai pohon kehidupan karena berumur panjang dan mudah tumbuh di berbagai kondisi ekologis, serta merupakan gagasan terbentuknya pancasila yang merupakan ide Bapak Soekarno ketika melihat pohon sukun yang memiliki lima cabang. Hamparan daun Sukun menggambarkan suasana musim kemarau dengan menambah motif buah sukun serta motif parang sebagai penggambaran dari karakteristik seorang pemimpin."
Data 5 Batik Sukun (Batik Pohon Kehidupan),Malang,Batik Pohon Kehidupan,"FLORA (Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit)","Hijau /Green, Kuning/Yellow",Tulis,Primisima,Sintetis,Non Geometris,"Pengrajin ingin menyampaikan bahwa Pohon Sukun mungkin di masa depan dapat dijadikan sebagai bahan pokok makanan karena mudah tumbuh di berbagai kondisi ekologis, dengan berbagai manfaat yang dimiliki oleh Pohon Sukun, sehingga diberi nama ""Pohon Kehidupan"". Penggunaan warna hijau di sini berarti ""kehidupan"" dan warna kuning yang berarti ""Pengharapan""."
Data 6 Batik Sukun (Batik Kucecwara),Malang,batik kucecwara,"FLORA (Teratai/Lotus, Trembesi/Rain Tree, Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit, Bunga pohon Sukun/Breadfruit Flower) // FAUNA (Burung Cendrawasih/Cendrawasih Bird/Bird of Paradise) // CULTURE (Kawung, Truntum) // ARCHITECTURE (Tugu Malang/Malang Monument)","Merah/Red, Putih/White",Tulis,Primisima,Sintetis,Non Geometris,"Kucecwara yang berarti luar biasa, burung cendrawasih yang memberikan kesan indah dan menawan, Bunga teratai melambangkan bahwa manusia membutuhkan satu sama lain dan saling bermanfaat untuk sesama, serta motif truntum sebagai simbol kasih sayang. Warna merah pada latar sebagai peringatan hari kemerdekaan Indonesia serta pengharapan agar warga Malang dapat hidup rukun dan damai dalam keberagaman, yang divisualisasikan melalui berbagai simbol di dalam motifnya."
Data 7 Batik Sukun (Batik Hamparan Sukun),Malang,Batik Hamparan Sukun,"FLORA (Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit) // CULTURE (Parang)",Hitam kecoklatan/Dark Brown,Tulis,Primisima,Sintetis,Geometris dan Non Geometris,Daun dan buah sukun menyimbolkan kehidupan karena pohon sukun sering disebut juga dengan pohon kehidupan. Menggunakan warna yang hitam kecoklatan yang memperlihatkan kegagahan laki-laki. Menggambarkan karakteristik seorang pemimpin yang digambarkan dengan motif parang.
Data 8 Batik Sukun (Batik Srikandi),Malang,Batik Srikandi,"FLORA (Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit) // CULTURE (Parang, Srikandi)","Hitam/Black, Hijau/Green",Tulis,Primisima,Sintetis,Non Geometris,"Srikandi adalah tokoh androgini dari wiracarita Mahabharata yang merupakan seorang permaisuri raja Drupada dari kerajaan Pancala, menggambarkan sosok perempuan yang kuat namun tetap dapat mempercantik diri. Pemilihan warna hitam karena supaya menyatu dengan tema flora yaitu alam."
Data 9 Batik Sukun (Batik Srikandi),Malang,Batik Srikandi,"FLORA (Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit), CULTURE (Parang, Srikandi)","Biru/Blue, Putih/White",Tulis,Primisima,Sintetis,Non Geometris,"Srikandi adalah tokoh androgini dari wiracarita Mahabharata yang merupakan seorang permaisuri raja Drupada dari kerajaan Pancala, menggambarkan sosok perempuan yang kuat namun tetap dapat mempercantik diri. Parang digunakan sebagai simbol dari merangkul masyarakat, seperti ketika wanita yang mendukung dan mendampingi suami."
Data 1 Batik Lana (Daun Monstera),Malang,Daun Monstera,FLORA (Tumbuhan Monstera/Monstera Deliciosa) ,"Coklat/Brown, Coklat Muda/Bright Brown",Tulis,Primisima,Alam,Non Geometris,"Terinspirasi dari Gunung Arjuno yang terletak di perbatasan Kota Batu, Kabupaten Malang, dan Kabupaten Pasuruan. Gunung Arjuno juga merupakan gunung tertinggi kedua di Jawa Timur setelah Gunung Semeru dengan ketinggian 3,339 m. Pewarna yang digunakan adalah pewarna alami yang berasal dari Secang (tumbuhan herbal yang tumbuh alami pada hutan-hutan sekunder), kulit bawang merah, kayu mahoni, dan kapur sebagai pengunci warna."
Data 2 Batik Lana (Pakis Tutul),Malang,Daun Monstera,FLORA (Tumbuhan Pakis/Fern Plants),Hijau tua/Dark Green,Tulis,Primisima,Alam,Non Geometris,Terinspirasi ketika mengunjungi Pujon (salah satu kecamatan yang ada di Kabupaten Malang) yang terdapat banyak tumbuhan pakis. Pewarna yang digunakan adalah pewarna alam yang berasal dari daun mangga dan daun jambu klutuk.
Data 3 Batik Lana (Daun Monstera),Malang,Daun Monstera,FLORA (Tumbuhan Pakis/Fern Plants),botol/Dark GrHijau een,Tulis,Primisima,Sintetis,Non Geometris,Terinspirasi dari flora dan fauna yang terdapat di alam Gunung Bromo (gunung berapi aktif yang terdapat di Jawa Timur).
Data 4 Batik Lana (Parang Anggrek),Malang,parang anggrek,FLORA (Bunga Anggrek/Orchid Flower),Biru/Blue,Tulis,Primisima,Alam,Geometris,"Terinspirasi dari Pantai Banyu Tibo yang terletak di Pacitan, Jawa Timur. Pewarna yang digunakan adalah pewarna alami yang berasal dari daun indigo."
Data 5 Batik Lana (Jumputan),Malang,Jumputan 1,FLORA,Ungu/ Purple,Tulis,Katun,Alam,Geometris,Melestarikan budaya stagen yaitu kain panjang yang menjadi pelengkap pakaian tradisional Jawa dan berfungsi sebagai pengunci kain. Pewarna yang digunakan adalah pewarna alami dengan menggunakan Secang dan kulit bawang merah.
Data 6 Batik Lana (Jumputan),Malang,Jumputan 2,FLORA,Hijau tletong/Pickle,Tulis,Katun,Sintetis,Geometris,Melestarikan budaya stagen yaitu kain panjang yang menjadi pelengkap pakaian tradisional Jawa dan berfungsi sebagai pengunci kain.
Data 7 Batik Lana (Parang Anggrek),Malang,Parang Anggrek,FLORA (Bunga Anggrek/Orchid Flower),Coklat/Brown,Tulis,Katun,Alam,Geometris,"Terinspirasi dari pantai banyu tibo yang terletak di Pacitan, Jawa Timur. Pewarna yang digunakan adalah pewarna alami yang berasal dari kulit kayu mahoni dan manggis."
Data 8 Batik Lana (Kombinasi Ecoprint dan Batik Tulis),Malang,Kombinasi Ecoprint,"FLORA (Daun Jati/Teak Leaf, Daun Lanang/Lanang Leaf)",Coklat/Brown,Tulis,Katun,Alam,Non Geometris,Memanfaatkan daun jati dan daun lanang yang terdapat di hutan. Pewarna yang digunakan adalah pewarna alami yang berasal dari kulit kayu tingi dan jolawe.
Data 9 Batik Lana (Bunga Wijaya Kusuma),Malang,Bunga wijaya kusuma,FLORA (Bunga Wijaya Kusuma/Wijaya Kusuma Flower),Merah/Red,Tulis,Katun,Sintetis,Non Geometris,Terinspirasi dari candi Singosari yang merupakan candi peninggalan kerajaan Majapahit. Motif kawung yang terdapat dalam batik ini terinspirasi dari kawung yang dipakai oleh putri Ken Dedes.
Data 10 Batik Lana (Bunga Matahari),Malang,Bunga Matahari,FLORA (Bunga Matahari/Sunflower),Hijau/Green,Tulis,Prisma,Sintetis,Non Geometris,Terinspirasi dari salah satu tempat wisata yang terdapat di Kota Batu yaitu ladang bunga matahari.
Data 11 Batik Lana (Bunga Wijaya Kusuma),Malang,Bunga wijaya kusuma,FLORA (Bunga Wijaya Kusuma/Wijaya Kusuma Flower),Hijau ketepeng,Tulis,Katun,Alam,Non Geometris,Bunga wijaya kusuma merupakan bunga yang disukai oleh Ken Dedes dan dipercaya dapat membawa keberuntungan. Pewarna yang digunakan adalah pewarna alami yang berasal dari daun mangga.
Data 12 Batik Lana (Daun Pakis),Malang,Daun Pakis,FLORA (Tumbuhan Pakis/Fern Plants),"Hitam/Black, ungu/Purple",Tulis,Kencana,Sintetis,Non Geometris,Terinspirasi ketika mengunjungi Pujon (salah satu kecamatan yang ada di Kabupaten Malang) yang terdapat banyak tumbuhan pakis.
Data 13 Batik Lana (Alam parang daun teh biru),Malang,Alam parang daun teh biru,FLORA(Daun teh/ Teh leaf) // CLASSIC (Motif Parang),Biru/Blue,Tulis,Katun Primisima,Alam,Geometris,Terinspirasi dari daun teh yang dihasilkan dari kebun teh Wonosari yang letaknya tepat di lereng Gunung Arjuno.
"Data 14 Batik Lana (Bambu, Ikan dan Topeng)",Malang,"Bambu, ikan dan topeng",FLORA (Pohon Bambu/Bamboo Tree) // FAUNA (Ikan Koi/Koi Fish) // CULTURE (Topeng/Mask),Hijau/Green,cap dan tulis,Katun Primisima,Sintetis,Non Geometris,"Terinspirasi dari sumber mata air polaman, Kecamatan Lawang yang dipercaya airnya bersumber langsung dari Gunung Arjuno."
Data 15 Batik Lana (Candi Padma),Malang,Candi Padma,FLORA (Bunga Padma/Rafflesia Arnoldii) // CULTURE (Candi/Temple) ,"Hitam/Black, hijau/Green",Cap dan tulis,Katun,Sintetis,Non Geometris,Motif batik terinspirasi dari Candi Singosari dan bunga Padma yang merupakan ikon dari Kota Malang (tahun 2000an)
Data 16 Batik Lana (Daun teh dan embun),Malang,Batik Lukis daun teh dan embun,FLORA (Daun teh/Teh leaf),Hijau/Green,Lukis,Katun,Sintetis,Non Geometris,Terinspirasi dari daun teh yang berasal dari kebun teh Wonosari dan bola-bola embun di pagi hari.
Data 1 Batik Wagastu (Sayap Sulur Kopi),Malang,Sayap Sulur Kopi,"FLORA (Tumbuhan Kopi/Coffee Plant, Sulur/Tendril) // FAUNA (Sayap burung/Bird wings)","Coklat, hijau",Tulis,Primisima,Sintetis,Non-Geometris,"Batik dengan tema Sayap Sulur Kopi mencerminkan filosofi kebebasan dan ketahanan, terinspirasi dari daun kopi yang menjalar serta sayap yang melambangkan harapan. Motif ini berkembang dari tradisi batik pesisir dan pedalaman, mencerminkan kekayaan budaya Nusantara serta kejayaan kopi sebagai komoditas penting sejak era kolonial."
Data 2 Batik Wagastu (Kupu-kupu Musim Semi),Malang,Kupu-kupu Musim Semi,FLORA (Tumbuhan Monstera/Monstera Deliciosa) // FAUNA (Kupu-kupu/Butterfly),"Brick Red, tosca",Tulis,Primisima,Sintetis,Non-Geometris,"Batik Kupu-kupu Musim Semi melambangkan keindahan, transformasi, dan kehidupan baru. Terinspirasi dari kupu-kupu yang bermekaran saat musim buah di Malang, motif ini mencerminkan harapan dan kebangkitan."
Data 3 Batik Wagastu (Gelombang Cinta),Malang,Gelombang Cinta,FLORA (Tanaman gelombang cinta/Love wave plant),"Coklat, merah",Tulis,Primisima,Sintetis,Geometris,"Batik Gelombang Cinta terinspirasi dari keindahan ombak di pantai sendiri kabupaten Malang yang melambangkan kekuatan dan ketulusan cinta. Motif ini berkembang dari perpaduan gaya batik pesisir yang dinamis dan batik klasik yang penuh filosofi. Dengan pola beriak yang harmonis, batik ini merepresentasikan perjalanan cinta yang abadi dan penuh makna."
Data 4 Batik Wagastu (Kawung Daur Rambat),Malang,Kawung Daur Rambat,FLORA (Tanaman English Ivy/Ivy),"Brick Red, kuning",Tulis,Primisima,Sintetis,Geometris,"Batik Kawung Daur Rambat menggabungkan motif kawung klasik dengan tanaman merambat yang berada di halaman rumah batik wagastu melambangkan kesinambungan hidup. Terinspirasi dari keseimbangan dan ketahanan, motif ini berkembang sebagai simbol kebijaksanaan dan siklus kehidupan yang terus berlanjut dalam harmoni dan keberlanjutan"
Data 5 Batik Wagastu (Sesuluran),Malang,Sesuluran,"FLORA (Tanaman gelombang cinta/Love wave plant, Purple Mallow Flower)","Coklat, pink",Tulis,Primisima,Sintetis,Non-Geometris,"Batik Sesuluran mencerminkan kebersamaan dan ikatan persaudaraan yang kuat antara komunitas batik di Malang Raya. Terinspirasi dari sulur tanaman yang saling terhubung, motif ini melambangkan harmoni, gotong royong, dan kekuatan dalam kebersamaan yang diwariskan secara turun-temurun."
Data 6 Batik Wagastu (Sulur Wiji Timun),Malang,Sulur Wiji Timun,FLORA (Tanaman timun/Cucumber plant),"Coklat, oren",Tulis,Primisima,Sintetis,Geometris,"Batik Sulur Wiji Timun terinspirasi dari sulur tanaman timun yang tumbuh dekat halaman rumah, melambangkan kesuburan, harapan, dan keberlanjutan hidup. Motif ini mencerminkan kedekatan dengan alam serta nilai ketekunan dan kesederhanaan."
Data 7 Batik Wagastu (Parang Sayap),Malang,Parang Sayap,FAUNA (Burung pipit/Sparrow) // CULTURE (Motif parang/Parang Pattern),"Biru navy, coklat",Tulis,Primisima,Sintetis,Non-geometris,"Batik Parang Sayap terinspirasi dari burung yang terbang di atas kebun. Motif ini menggabungkan dinamika parang dengan keanggunan sayap, melambangkan semangat dan ketangguhan hidup."
Data 8 Batik Wagastu (Batik Musim Gugur),Malang,Batik Musim Gugur,FLORA (Pohon Mangga/Mango Tree),"Merah, tosca",Tulis,Primisima,Sintetis,Non-geometris,"Batik Daun Pohon Mangga terinspirasi dari daun mangga yang gugur di halaman rumah batik Wagastu, melambangkan siklus kehidupan, ketulusan, dan pembaruan."
Data 9 Batik Wagastu (Bon Kelengkeng),Malang,Bon Kelengkeng,FLORA (Pohon kelengkeng/Longan Tree),"Biru navy, Brick Red",Tulis,Primisima,Sintetis,Non-geometris,"Batik Pohon Kelengkeng terinspirasi dari pohon kelengkeng yang berbuah lebat di halaman studio batik, melambangkan kesuburan, kemakmuran, dan hasil dari kerja keras"
Data 10 Batik Wagastu (Nandur Kopi),Malang,Nandur Kopi,FLORA (Pohon kopi/Coffee Tree),"Brick Red, tosca",Tulis,Primisima,Sintetis,Non-geometris,"Batik Nandur Kopi di Kebun terinspirasi dari pengalaman menanam kopi saat berlibur, melambangkan ketenangan, kerja keras, dan kedekatan dengan alam"
Data 11 Batik Wagastu (Kebun Apel),Malang,Kebun Apel,FLORA (Pohon apel/Apple Tree),"Coklat, merah",Tulis,Primisima,Sintetis,Non-geometris,"Batik Kebun Apel terinspirasi dari keindahan kebun apel di Kota Batu yang sedang berbuah lebat, melambangkan kesuburan, kemakmuran, dan hasil dari ketekunan."
Data 12 Batik Wagastu (Rambatan Anggur),Malang,Rambatan Anggur,FLORA (Pohon anggur/Grape Tree),"Brick Red,Hijau",Tulis,Primisima,Sintetis,Non-geometris,Motif batik yang terinspirasi dari kesabaran petani dalam menunggu hasil panen di kebun anggur di Batu
Data 13 Batik Wagastu (Sayap Rona Harapan),Malang,Sayap Rona Harapan,FLORA (Pohon Mangga/Mango Tree) // FAUNA (Burung pipit/Sparrows) ,"Brick Red, coklat",Tulis,Primisima,Sintetis,Non-geometris,Pembuatan motif batik terinspirasi dari kebaya peserta Malang Fashion Week yang terdapat sayap burung dengan gagah yang merupakan wujud perpaduan antara tradisi dan inovasi dalam dunia fashion.
Data 14 Batik Wagastu (Budidaya Melati),Malang,Budidaya Melati,FLORA (Tanaman melati/Jasmine Plant),"Oren, Biru",Tulis,Primisima,Sintetis,Non-Geometris,"Dalam prosesnya pembatik mengamati bentuk bunga melati yang kecil namun elegan, serta pola pertumbuhannya yang menjalar dengan daun-daun hijau yang rimbun di kebun yang dekat dengan rumah batik wagastu."
Data 15 Batik Wagastu (Palma),Malang,Palma,FLORA (Pohon palma/Palm Tree),"Mahogany brown, kuning",Tulis,Primisima,Sintetis,Non-Geometris,"Pohon palma menggambarkan kerukunan agama dan budaya di Kota Malang, kota yang dikenal dengan keberagaman dan keharmonisannya. Pohon palma, dengan bentuknya yang kokoh dan daunnya yang menjulur ke segala arah, melambangkan persatuan."
Data 16 Batik Wagastu (Komposisi Topeng Tukaran),Malang,Komposisi Topeng Tukaran,"FLORA (Tanaman Air mata pengantin/Coral Vine Plant, Carolina Plant) // CULTURE (Topeng/Mask) ","Brick red, spektrum blue",Tulis,Primisima,Sintetis,Non-Geometris,"Pembuatan motif batik yang terinspirasi dari pementasan topeng sebagai bagian dari budaya Kota Malang. Topeng Malangan, dengan karakteristiknya yang kuat, ekspresif, dan penuh filosofi, menjadi sumber inspirasi utama dalam proses penciptaan motif batik ini."
